customer_number,contact_lastname,contact_firstname,phone,address_line1,address_line2,city,state,postal_code,country,sales_employee_number,credit_limit
536745,Short,Veronica,(832)438-9006,163 Barron Mission Suite 985,Suite 423,Lake Matthewtown,West Virginia,37933,Equatorial Guinea,658527,69408.01
408267,Dunn,James,989-948-7721x1711,53748 Gonzalez Bypass Suite 884,Apt. 685,Gonzalesborough,Pennsylvania,31246,Zambia,497419,70978.2
443543,Williams,Tracy,(977)223-1150,968 Amy Brook,Apt. 543,Sawyerville,Texas,30571,Netherlands,837675,94676.57
434282,Wise,Bryan,434-248-2718x493,844 Cox Lights Suite 314,Apt. 017,Lake Bradleyport,Pennsylvania,47755,Niger,773414,75097.55
869276,Pace,Elijah,333.856.0602,81213 Lynch Rue,Suite 942,Williamton,Texas,63184,Papua New Guinea,376138,98503.68
536659,Hogan,Gary,+1-536-633-3562,30640 Melendez Rue Apt. 521,Apt. 286,Thomaston,New York,90128,New Zealand,701380,1772.43
813407,Price,Jose,001-491-735-0472x8142,43494 Sutton Forest Suite 935,Apt. 258,Anthonyhaven,New Jersey,04125,Congo,792145,66664.93
958261,Rivera,Wayne,518-216-4106,3580 Ralph Corner,Apt. 250,Philipburgh,Texas,75786,Syrian Arab Republic,744864,13087.16
712292,White,Daniel,+1-870-537-1675x48733,4373 Douglas Landing,Suite 366,Loveborough,Montana,61703,Mauritania,701380,83804.95
427915,Anderson,Jennifer,(860)886-1071x4950,994 John Avenue Apt. 874,Apt. 435,Garnermouth,Oklahoma,90627,Switzerland,984863,20324.83
670576,Wright,Lynn,(448)753-8747x41786,032 Benjamin Grove Suite 045,Suite 082,Johnsonshire,New Hampshire,20997,Lithuania,324961,47441.68
616977,Khan,James,001-990-365-7632,73823 Miller Crest,Apt. 799,Combsfurt,Kansas,72240,Malta,197472,50553.22
186343,Brooks,Christian,753.500.3475x94353,76223 Michele Stream,Suite 953,Port Michael,Georgia,31556,Switzerland,140141,27817.95
895832,Williams,Nichole,+1-854-920-7375x52261,5239 Kevin Springs,Apt. 950,New Andrew,Missouri,39967,Christmas Island,343057,9804.69
187381,Mcbride,Sandra,(384)758-1075x543,8837 Brenda Village,Suite 352,Ericchester,Nebraska,91625,Sweden,822661,83718.5
379419,Fuentes,Tyler,888.810.2153,8614 Jasmine Junction Apt. 433,Suite 754,Meganborough,Virginia,57042,Bangladesh,686140,75184.56
911600,Griffin,Heather,8534797528,26232 Lynn Bypass Apt. 574,Suite 396,Leeberg,Connecticut,89523,Djibouti,734541,42112.3
477238,Stout,Danielle,(467)758-9589,0829 Sarah Spurs,Suite 940,Markshire,Oregon,70450,Mauritius,837675,47854.1
154303,Rodriguez,Jillian,+1-570-378-7763x8248,164 Alison Hollow,Suite 556,East Matthewfort,Florida,58920,Tajikistan,734541,40132.48
664146,Mitchell,Cassandra,001-234-419-5994x29322,304 Joseph Gardens Suite 299,Suite 182,West Michele,Maryland,42047,Ghana,669769,65401.6
498366,Barrett,Jared,200-459-9622x1325,2695 Aaron Trail,Apt. 102,East Joe,Tennessee,85247,Czech Republic,140141,35484.82
207744,Mann,Margaret,001-456-906-4817,12450 Lewis Circles Apt. 950,Apt. 581,South David,North Carolina,76826,Gambia,338578,8559.03
248260,Rice,Brenda,+1-572-616-2950x5116,000 Hodges Loaf,Apt. 101,Lake Gregoryfort,Michigan,26185,Dominican Republic,259866,69924.96
487209,Lester,Jessica,(376)352-4208x68540,352 John Circles,Suite 336,South Danielfurt,Colorado,47574,Bhutan,903289,46524.23
333097,Marshall,Theodore,001-543-596-9647,945 Melissa Tunnel Apt. 186,Apt. 171,East Angela,Virginia,59061,Chad,197472,78819.79
997168,Tyler,Jessica,217.635.8571x20674,54801 Smith Rue Suite 047,Suite 696,Shannonville,Utah,08502,Belize,984863,93223.51
501867,Clark,David,934.839.1295x571,019 Jennifer Ridges Suite 045,Apt. 622,Lake Thomas,Vermont,86150,Romania,497419,14100.23
713811,Rogers,Elizabeth,+1-319-612-0317,62824 Jackson Glens,Suite 791,Kennedyfort,Arizona,07999,Anguilla,820249,2480.21
423126,Bell,Michelle,700.522.0667,7575 Mcdaniel Shoals,Suite 865,Amandastad,Georgia,88958,French Southern Territories,411052,37715.75
233734,Madden,John,804-747-7996,0306 Raymond Ferry Apt. 055,Suite 215,Powellhaven,Montana,49162,El Salvador,566125,52186.03
897419,Lopez,Lisa,001-640-798-8623x9985,97428 Sara Rest Apt. 550,Suite 351,Stewarthaven,Oklahoma,03051,Russian Federation,769369,88846.15
972219,Ali,Brett,001-752-931-6506,856 Thomas Knoll Suite 418,Suite 579,Shannonmouth,Kansas,84951,Brazil,658527,78428.51
732743,Solomon,Darren,333-721-1840x514,490 Rhonda Inlet Apt. 313,Suite 349,Shannonberg,Wisconsin,91055,Cameroon,565698,53154.96
502345,Rodriguez,Emily,001-989-496-9870x765,03184 Nicole Overpass,Suite 422,Richardsonville,Washington,74276,Korea,324961,16131.87
506799,Fisher,Melissa,+1-403-304-6767,906 David Neck,Apt. 808,West Manuel,Arkansas,67293,United Arab Emirates,945814,39170.01
192506,Douglas,Elizabeth,+1-344-319-8602x09737,2086 Smith Lodge Apt. 593,Suite 391,Port Misty,Hawaii,63331,Japan,684192,11892.75
929304,Lee,Rachel,001-826-408-4132x062,899 Pamela Estates,Apt. 582,West Nicole,Kansas,37128,Sierra Leone,473232,91046.38
467811,Livingston,Joseph,293-772-8592x2556,7751 Jeffery Stravenue Suite 787,Suite 876,Briannaport,Oregon,17654,Burkina Faso,792145,25475.22
297555,Nash,Micheal,549.886.4745,8471 Nicholas Summit,Suite 276,Nancyton,New Hampshire,38577,Serbia,392848,60024.22
946669,Rivers,Michael,001-324-501-7818x79486,754 Carrie Mall,Suite 377,Kennedyside,Colorado,77298,Aruba,301968,86267.4
987304,Johnson,Tiffany,+1-884-292-2792x57762,730 Pamela Isle Apt. 173,Suite 085,Morganstad,Michigan,46257,Lebanon,171467,81656.38
693280,Glover,Brian,455.623.3560,8575 Rogers Prairie,Suite 048,Yolandamouth,Arkansas,08009,Antigua and Barbuda,944419,40968.37
349205,Sandoval,Brooke,4959484333,6097 Bowen Isle,Suite 287,Millerchester,West Virginia,96411,Benin,773414,97699.45
938151,Blanchard,Gavin,001-624-463-8552,301 Patty Mission Suite 278,Apt. 326,Jenniferville,Hawaii,06828,Egypt,197472,89950.3
528774,Murray,Anthony,760-705-7419x341,77227 Kimberly Ridges,Apt. 601,Lake Debbieport,New York,23473,Bouvet Island (Bouvetoya),343057,5993.32
864124,Rogers,Peter,978-600-3181x8975,7146 Clark Shoals Apt. 879,Apt. 582,New Larry,New York,54818,Uzbekistan,534340,93925.42
705452,Moran,Eric,+1-212-339-3345x677,31121 Raymond Mountains,Suite 464,Bruceberg,New Jersey,03523,Dominica,903289,82892.72
774929,Mendez,Anthony,(711)996-6748x974,9686 Pratt Forge,Apt. 625,Courtneyside,New Jersey,50055,Romania,497419,58126.3
803095,Ferguson,Emily,432.525.2381,774 Cheryl Oval Suite 316,Apt. 909,Denisehaven,Texas,48644,Armenia,744864,51387.72
515257,Vargas,Paul,001-678-310-4578x3132,0517 Fowler Via Suite 290,Suite 196,Ingramhaven,Minnesota,94348,Philippines,903289,83379.33
630849,Stafford,David,001-207-551-6242x60198,44063 Oliver Rapid Apt. 746,Apt. 252,Hudsonfurt,Colorado,32962,Papua New Guinea,266299,69518.74
300424,Hall,Bradley,571-414-3334,87609 Allen Parkway Apt. 882,Suite 372,South Judymouth,Vermont,86994,Aruba,376138,97518.76
342345,Pugh,Alexander,550.733.9577x97506,4812 Julie Meadow,Suite 943,Knoxside,Arkansas,46502,Seychelles,945814,9846.79
873474,Knight,Rachel,(623)917-9964x11639,263 John Place Suite 513,Apt. 060,West Ryanfort,Oregon,66441,Greece,186599,13317.86
281941,Glover,Kathy,(293)913-2658x969,5064 Jarvis Dale Suite 029,Suite 200,Burnsberg,Wyoming,73557,Cote d'Ivoire,629399,6140.11
510242,Smith,John,001-553-596-9208x0948,5187 Kendra Summit,Suite 509,Beasleyhaven,Washington,51213,Romania,321531,41360.09
177019,White,Julia,206.215.7793,6516 Richardson Isle Apt. 182,Apt. 068,Tinamouth,Maryland,43072,Romania,945814,73915.66
547067,Wagner,Richard,7993836499,00314 Anderson Causeway Suite 960,Apt. 454,Lake Evan,Arkansas,33273,Anguilla,821323,99477.45
108683,Galvan,Leslie,7646656000,43198 Richardson Ramp,Suite 855,Kelseyborough,Virginia,36277,Guyana,105554,76743.89
540244,Martinez,Christopher,957.579.1647x545,10370 David Manors,Suite 994,North Bradley,South Carolina,89526,Dominica,473232,66353.64
821096,Lopez,Karen,(516)635-2114,80853 Jonathan Station Apt. 030,Suite 690,Port Mark,Georgia,76616,Mauritius,686140,4905.32
658364,Savage,Andrew,655.435.6983x2165,87112 Anne Bypass,Apt. 216,Crawfordchester,Hawaii,63370,Panama,411052,53566.26
